eID,dID,efID,elID,jID,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,burnout_rate,AnnualIncome
23,2,1,3,8,No,419,7,1,53,3,2,11994,0,0,3,13,3,12,6,2,11,Senior,1.8,143928
24,2,1,1,2,No,391,15,3,96,3,4,1232,1,0,3,0,3,0,0,0,0,Junior,2.6,14784
25,2,3,2,2,Yes,699,6,2,83,3,1,2960,2,0,3,8,3,4,2,1,3,Mid-level,1.8,35520
26,2,2,4,6,No,1282,5,3,58,3,3,19094,4,0,3,26,2,14,13,4,8,Senior,2.2,229128
27,2,1,2,2,Yes,1125,16,2,72,1,1,3919,1,1,4,10,3,10,2,6,7,Senior,1.6,47028
28,1,4,3,1,No,691,8,3,48,3,2,6825,0,0,3,10,3,9,7,4,2,Senior,2.2,81900
29,2,3,3,5,No,477,7,1,42,2,4,10248,3,0,3,24,3,22,6,5,17,Senior,2.0,122976
30,1,4,3,6,No,705,2,2,83,3,1,18947,3,0,3,22,2,2,2,2,1,Junior,1.6,227364
31,2,3,4,3,No,924,2,3,78,3,4,2496,4,0,3,7,3,1,1,0,0,Junior,2.6,29952
32,2,2,3,5,No,1459,10,4,41,3,4,6465,2,1,3,9,4,4,2,1,3,Mid-level,3.2,77580
33,2,3,1,3,No,125,9,4,83,2,3,2206,1,0,3,10,3,10,0,1,8,Senior,2.4,26472
34,1,5,4,7,Yes,895,5,4,56,3,4,2086,3,0,3,19,4,1,0,0,0,Junior,3.0,25032
35,2,3,4,2,Yes,813,1,2,61,3,4,2293,2,1,3,6,2,2,0,2,0,Junior,2.4,27516
36,2,3,1,2,No,1273,2,4,72,4,3,2645,1,0,3,6,2,5,3,1,4,Mid-level,2.6,31740
37,1,4,1,7,Yes,869,3,1,86,2,3,2683,1,1,3,3,3,3,2,0,2,Mid-level,2.0,32196
38,1,4,4,7,No,890,2,4,97,3,4,2014,1,0,3,2,3,2,2,2,2,Junior,2.8,24168
39,2,1,3,2,No,852,5,2,82,2,1,3419,9,1,3,6,4,1,1,0,0,Junior,2.0,41028
40,1,1,4,1,No,1141,1,3,42,4,1,5376,2,0,3,10,3,5,3,1,3,Mid-level,2.2,64512
41,2,2,1,3,No,464,4,3,75,3,4,1951,1,0,3,1,3,1,0,0,0,Junior,2.6,23412
42,2,1,3,3,No,1240,2,4,33,3,1,2341,1,0,3,1,3,1,0,0,0,Junior,2.2,28092
43,2,1,4,3,Yes,1357,25,1,48,1,3,2293,1,0,3,1,2,1,0,0,1,Junior,1.4,27516
44,1,1,4,1,No,994,8,4,37,3,3,8726,1,0,3,9,3,9,8,1,7,Senior,2.6,104712
45,2,3,1,3,No,721,1,3,58,3,4,4011,1,0,4,12,3,12,8,3,7,Senior,2.6,48132
46,2,5,4,8,Yes,1360,12,2,49,3,3,19545,1,0,3,23,3,22,15,15,8,Senior,2.2,234540
47,1,4,3,1,No,1065,23,2,72,3,3,4568,0,0,4,10,3,9,5,8,7,Senior,2.2,54816
48,2,1,1,2,No,408,19,2,73,3,2,3022,4,0,4,8,3,1,0,0,0,Junior,2.0,36264
49,1,4,3,1,No,1211,5,1,98,3,4,5772,4,1,4,14,3,9,6,0,8,Senior,2.4,69264
50,2,1,2,3,No,1229,8,4,36,4,4,2269,1,0,3,1,3,1,0,0,1,Junior,3.0,27228
51,2,1,1,3,Yes,626,1,1,98,2,3,5381,9,1,3,23,3,1,0,0,0,Junior,2.0,64572
52,2,5,3,3,Yes,1434,5,3,50,3,3,3441,1,1,3,2,2,2,2,2,2,Junior,2.4,41292
53,1,4,5,1,No,1488,1,2,75,3,1,5454,5,1,4,9,2,4,3,1,3,Mid-level,1.8,65448
54,2,3,1,5,No,1097,11,3,79,2,1,9884,2,1,3,10,3,4,0,2,3,Mid-level,2.0,118608
55,1,4,4,1,No,1443,23,3,47,2,4,4157,7,1,3,5,2,2,2,0,0,Junior,2.4,49884
56,2,1,1,8,No,515,1,1,98,3,4,13458,1,1,3,15,3,15,14,8,12,Senior,2.4,161496
57,1,1,5,1,No,853,18,2,71,3,1,9069,1,0,4,9,2,9,8,1,8,Senior,1.6,108828
58,2,3,3,3,No,1142,23,3,30,3,1,4014,3,1,3,4,3,2,2,2,2,Junior,2.2,48168
59,2,1,3,3,No,655,7,4,48,3,4,5915,3,0,4,10,2,7,7,1,7,Senior,2.6,70980
60,2,1,3,4,No,1115,1,1,51,2,3,5993,1,0,3,7,4,7,5,0,7,Senior,2.0,71916
61,2,3,4,4,No,427,1,1,33,3,4,6162,1,1,4,9,3,9,8,7,8,Senior,2.4,73944
62,2,1,5,3,No,653,29,4,50,3,4,2406,1,0,3,10,3,10,3,9,9,Senior,2.8,28872
63,2,3,1,8,No,989,7,2,43,2,3,18740,5,1,3,29,2,27,3,13,8,Senior,2.0,224880
64,1,1,4,1,No,1435,25,1,99,3,1,7637,7,0,3,28,2,21,16,7,9,Senior,1.4,91644
65,2,5,4,5,No,1223,8,3,59,3,3,10096,1,0,3,17,3,17,14,12,8,Senior,2.4,121152
66,2,3,4,6,No,836,8,4,33,3,3,14756,2,1,3,21,3,5,0,0,2,Mid-level,2.8,177072
67,2,1,4,4,No,1195,11,2,95,2,2,6499,1,0,3,6,3,6,5,0,3,Mid-level,1.8,77988
68,2,1,4,2,No,1339,7,2,59,3,1,9724,2,0,3,25,3,1,0,0,0,Junior,1.8,116688
69,2,3,4,2,No,664,1,2,79,3,1,2194,4,0,3,5,2,3,2,1,2,Mid-level,1.6,26328
70,2,3,4,2,Yes,318,9,4,79,2,3,3388,0,1,3,2,2,1,0,0,0,Junior,2.4,40656
71,1,1,2,1,No,1225,1,1,57,2,3,5473,7,0,3,20,2,4,3,1,3,Mid-level,1.6,65676
72,2,1,4,2,No,1328,2,3,76,3,2,2703,0,0,4,6,3,5,4,0,4,Mid-level,2.2,32436
73,2,3,3,2,No,1082,1,3,87,3,2,2501,1,0,3,1,3,1,1,1,0,Junior,2.2,30012
74,2,1,4,2,No,548,1,2,66,3,2,6220,1,0,3,10,3,10,4,0,9,Senior,2.0,74640
75,2,1,4,3,No,132,6,2,55,4,4,3038,3,0,3,5,3,1,0,0,0,Junior,2.6,36456
76,2,1,3,4,No,746,8,3,61,3,4,4424,1,0,4,11,3,11,7,1,8,Senior,2.6,53088
77,1,4,3,1,No,776,1,3,32,2,1,4312,0,0,3,16,3,15,13,2,8,Senior,1.8,51744
78,2,2,3,8,No,193,6,4,52,3,1,13245,4,1,3,17,4,0,0,0,0,Junior,2.6,158940
79,2,3,3,8,No,397,7,1,30,3,3,13664,4,0,3,16,4,5,2,0,2,Mid-level,2.2,163968
80,3,3,1,9,No,945,5,2,80,3,2,5021,8,1,4,16,3,4,2,0,2,Mid-level,2.2,60252
81,2,1,2,3,No,852,1,4,55,2,4,5126,1,1,3,10,2,10,8,3,0,Senior,2.6,61512
82,2,3,4,2,No,1214,1,2,30,2,3,2859,1,0,3,6,3,6,4,0,4,Mid-level,2.0,34308
83,1,1,1,1,No,111,1,1,70,3,4,10239,3,0,3,24,3,1,0,1,0,Junior,2.2,122868
84,2,3,4,2,No,573,6,2,79,1,4,5329,7,1,3,17,3,13,11,1,9,Senior,2.2,63948
85,2,3,1,4,No,1153,1,1,94,3,2,4325,1,0,3,5,3,5,2,1,3,Mid-level,1.8,51900
86,2,1,4,4,No,1400,7,4,49,1,4,7260,4,0,3,37,2,6,4,0,2,Mid-level,2.2,87120
87,1,5,2,7,No,541,2,3,62,3,1,2322,3,0,3,3,3,0,0,0,0,Junior,2.0,27864
88,2,1,3,3,No,432,9,4,96,3,4,2075,3,0,4,10,3,4,2,0,3,Mid-level,2.8,24900
89,2,1,4,5,No,288,2,3,99,2,4,4152,1,0,3,11,3,11,10,10,8,Senior,2.4,49824
90,1,3,1,1,Yes,669,9,3,64,2,4,9619,1,0,3,9,3,9,8,4,7,Senior,2.4,115428
91,2,1,3,5,No,530,1,3,78,2,2,13503,1,0,4,22,2,22,3,11,11,Senior,1.8,162036
92,1,4,3,1,No,632,21,3,71,3,4,5441,0,1,4,11,1,10,7,1,0,Senior,2.4,65292
93,1,3,1,1,No,1334,4,3,63,2,2,5209,1,1,3,11,2,11,8,2,7,Senior,2.0,62508
94,2,3,4,5,No,638,1,3,40,2,1,10673,2,1,3,21,2,10,9,9,5,Senior,1.8,128076
95,1,3,3,1,No,1093,6,2,87,3,3,5010,1,0,3,12,3,11,8,5,7,Senior,2.2,60120
96,2,5,3,8,No,1217,2,1,60,3,3,13549,9,0,3,16,1,4,3,0,3,Mid-level,1.6,162588
97,1,2,1,1,No,1353,3,1,33,3,3,4999,0,0,4,4,2,3,2,0,2,Mid-level,1.8,59988
98,1,3,4,1,No,120,4,2,43,3,3,4221,1,0,3,5,4,5,4,0,4,Mid-level,2.4,50652
99,1,3,3,1,No,682,10,4,37,3,3,13872,0,0,3,38,2,37,10,1,8,Senior,2.4,166464
100,2,3,4,3,No,489,23,2,67,3,2,2042,4,0,3,17,4,3,2,1,2,Mid-level,2.2,24504
101,3,6,3,9,Yes,807,6,3,63,3,1,2073,4,1,4,7,3,3,2,0,2,Mid-level,2.2,24876
102,2,1,2,2,No,827,1,4,71,3,1,2956,1,0,3,1,3,1,0,0,0,Junior,2.2,35472
103,2,1,4,3,Yes,871,6,4,66,2,4,2926,1,1,3,1,3,1,0,1,0,Junior,2.8,35112
104,2,2,3,2,No,665,6,1,41,3,3,4809,1,0,3,16,3,16,13,2,10,Senior,2.0,57708
105,2,1,1,5,No,1040,2,3,100,2,4,5163,5,0,3,17,4,1,0,0,0,Junior,2.6,61956
106,3,6,3,6,No,1420,2,3,32,2,4,18844,9,0,4,30,3,3,2,2,2,Mid-level,2.4,226128
107,2,1,4,8,No,1115,1,1,73,3,2,18172,3,1,3,28,2,8,3,0,7,Senior,1.8,218064
108,1,4,4,1,Yes,240,5,3,46,2,3,5744,1,1,3,6,3,6,4,0,3,Mid-level,2.4,68928
109,2,3,2,2,No,1280,7,4,64,2,4,2889,1,0,3,2,3,2,2,2,1,Junior,2.6,34668
110,2,3,4,3,No,534,15,2,59,3,4,2871,1,0,3,1,3,0,0,0,0,Junior,2.4,34452
111,2,3,3,5,No,1456,1,1,30,2,1,7484,3,0,4,23,2,13,12,12,8,Senior,1.2,89808
112,2,1,4,3,Yes,658,7,1,66,1,3,6074,1,1,4,9,3,9,7,0,6,Senior,1.8,72888
113,3,6,4,6,No,142,26,4,30,4,4,17328,2,1,3,23,3,5,3,4,4,Mid-level,3.2,207936
114,2,1,2,3,No,1127,18,2,52,3,3,2774,0,0,3,6,3,5,3,1,2,Mid-level,2.2,33288
115,2,1,3,2,No,1031,6,3,45,2,2,4505,6,0,3,12,3,1,0,0,0,Junior,2.0,54060
116,1,1,4,1,No,1189,3,3,87,3,4,7428,2,0,3,12,3,5,3,1,3,Mid-level,2.6,89136
117,2,3,4,6,No,1354,5,3,45,2,1,11631,2,0,3,14,3,11,10,5,8,Senior,1.8,139572
118,1,5,1,1,No,1467,11,2,92,3,4,9738,0,0,3,10,3,9,7,2,8,Senior,2.4,116856
119,2,1,1,3,No,922,3,1,39,3,4,2835,5,0,4,7,3,1,0,0,0,Junior,2.2,34020
120,1,1,1,6,No,394,26,3,92,3,4,16959,1,1,3,25,4,25,12,4,12,Senior,3.0,203508
121,2,1,4,2,No,1312,23,1,96,1,3,2613,1,0,4,10,2,10,7,0,9,Senior,1.4,31356
122,1,4,1,1,No,750,22,3,95,3,2,6146,0,0,3,8,4,7,7,0,7,Senior,2.4,73752
123,2,1,3,2,Yes,441,14,2,72,3,2,4963,9,1,3,7,3,5,4,4,3,Mid-level,2.2,59556
124,2,1,4,8,No,684,6,1,51,3,3,19537,7,0,3,23,3,20,18,15,15,Senior,2.0,234444
125,1,1,3,1,Yes,249,6,2,76,1,3,6172,4,1,3,12,2,7,7,7,7,Senior,1.8,74064
126,2,2,4,2,No,841,6,3,46,2,2,2368,1,0,3,5,2,5,4,4,3,Mid-level,1.8,28416
127,2,3,3,5,Yes,147,23,4,94,3,4,10312,1,0,3,40,2,40,10,15,6,Senior,2.6,123744
128,1,4,2,7,Yes,528,22,4,50,3,3,1675,1,1,3,0,2,0,0,0,0,Junior,2.6,20100
129,2,5,2,3,No,594,2,3,100,3,4,2523,0,0,3,3,3,2,1,2,1,Junior,2.6,30276
130,2,3,3,4,No,470,20,3,96,3,1,6567,1,0,3,16,2,15,11,5,11,Senior,1.8,78804
131,2,3,4,2,No,957,28,2,72,4,3,4739,4,0,3,18,3,3,2,1,2,Mid-level,2.4,56868
132,1,4,4,1,No,809,12,3,77,3,4,9208,4,0,3,16,3,2,2,2,1,Junior,2.6,110496
133,1,1,4,1,Yes,542,20,2,71,1,3,4559,3,1,3,4,3,2,2,2,2,Junior,2.0,54708
134,1,1,2,1,No,802,9,3,96,3,3,8189,3,1,3,12,3,9,7,0,7,Senior,2.6,98268
135,3,1,2,9,No,1355,25,3,61,3,3,2942,1,0,4,8,3,8,7,5,7,Senior,2.4,35304
136,2,3,1,4,No,216,6,2,84,3,2,4941,6,0,4,7,3,3,2,0,1,Mid-level,2.0,59292
137,2,1,3,4,Yes,1150,8,1,53,1,4,10650,2,0,3,18,3,4,2,0,3,Mid-level,1.8,127800
138,1,1,3,1,No,1329,4,4,47,2,3,5902,4,0,3,17,4,15,11,5,9,Senior,2.6,70824
139,1,1,4,1,No,959,28,1,41,2,3,8639,2,0,3,6,3,2,2,2,2,Junior,1.8,103668
140,3,6,4,9,No,1240,9,3,48,3,4,6347,0,1,3,12,1,11,9,4,7,Senior,2.4,76164
141,2,3,4,3,Yes,1033,9,1,41,3,1,4200,7,0,4,10,4,5,4,0,4,Mid-level,1.8,50400
142,2,3,4,2,No,1316,29,3,83,3,4,3452,5,0,3,9,2,6,5,0,3,Mid-level,2.4,41424
143,2,5,5,2,No,364,3,4,32,3,3,4317,3,1,4,19,3,3,2,2,2,Mid-level,2.8,51804
144,2,1,4,2,No,438,18,1,75,3,3,2632,1,0,3,5,2,5,4,0,4,Mid-level,1.8,31584
145,1,3,1,1,No,689,9,4,35,1,4,4668,0,0,3,9,4,8,7,0,7,Senior,2.6,56016
146,2,5,4,2,No,201,5,4,84,3,1,3204,5,0,3,8,3,3,2,2,2,Mid-level,2.2,38448
147,2,3,2,3,No,1427,2,2,35,2,4,2720,0,0,3,6,3,5,3,1,2,Mid-level,2.2,32640
148,2,1,4,6,No,857,10,4,91,2,1,17181,4,0,3,21,2,7,6,7,7,Senior,1.8,206172
149,2,1,3,3,No,933,9,3,94,3,1,2238,2,0,4,7,3,5,0,1,4,Mid-level,2.0,26856
150,2,3,2,3,No,1181,3,2,79,3,2,1483,1,0,3,1,3,1,0,0,0,Junior,2.0,17796
151,2,3,4,2,No,1395,26,2,54,3,2,5605,1,0,3,20,3,20,7,2,13,Senior,2.0,67260
152,1,4,5,1,No,662,1,3,94,3,2,7295,1,0,3,10,3,10,8,0,6,Senior,2.2,87540
153,1,4,1,7,No,1436,6,2,34,3,3,2306,2,1,4,13,1,7,7,4,5,Senior,2.0,27672
154,2,1,4,3,No,194,9,2,60,3,2,2348,8,0,3,20,1,17,9,0,15,Senior,1.6,28176
155,1,4,4,1,No,967,8,2,43,3,4,8998,1,0,3,9,3,9,8,3,7,Senior,2.4,107976
156,2,5,2,4,No,1496,1,4,41,3,3,4319,1,0,3,10,3,10,7,0,9,Senior,2.6,51828
157,2,3,3,4,No,1169,7,2,34,2,3,6132,2,0,3,10,3,1,0,0,0,Junior,2.0,73584
158,2,3,4,2,No,1145,9,2,75,2,2,3346,4,1,4,9,2,1,0,0,0,Junior,1.8,40152
159,1,4,3,1,No,630,4,3,67,2,4,10855,7,0,3,15,2,12,11,2,11,Senior,2.2,130260
160,1,4,3,7,No,303,2,3,75,3,3,2231,6,0,3,6,3,4,3,1,2,Mid-level,2.4,26772
161,2,3,2,2,No,1256,19,3,80,3,4,2323,1,0,4,2,3,2,2,2,2,Junior,2.6,27876
162,2,3,4,2,No,691,9,4,57,3,2,2024,6,0,3,6,1,2,2,2,2,Junior,2.0,24288
163,2,3,4,2,No,440,21,3,42,3,4,2713,1,0,3,5,1,5,2,0,2,Mid-level,2.2,32556
164,2,1,1,5,No,334,24,3,83,4,4,9439,3,1,3,12,1,5,3,1,4,Mid-level,2.6,113268
165,2,3,4,2,No,1450,3,3,79,2,3,2566,1,1,3,1,2,1,1,0,1,Junior,2.2,30792
166,2,1,4,6,No,1452,11,3,53,3,2,19926,3,0,3,21,3,5,4,4,4,Mid-level,2.2,239112
167,2,1,4,2,No,465,14,1,56,3,3,2451,4,0,3,13,3,9,8,1,8,Senior,2.0,29412
168,1,1,4,1,No,1339,5,2,41,3,4,9419,2,0,3,12,3,10,9,7,4,Senior,2.4,113028
169,1,1,3,1,No,702,1,1,59,2,4,8686,4,0,4,12,4,8,3,0,7,Senior,2.2,104232
170,2,1,5,2,No,120,6,3,43,3,3,3038,3,0,4,8,3,5,4,1,4,Mid-level,2.4,36456
171,2,5,4,2,No,1157,17,3,51,3,2,3058,0,1,3,6,2,5,2,1,1,Mid-level,2.2,36696
172,1,5,2,7,Yes,602,1,3,100,1,1,2325,0,0,4,1,4,0,0,0,0,Junior,1.8,27900
173,2,3,1,3,No,1480,3,4,30,3,2,2088,4,0,3,13,2,8,7,7,2,Senior,2.2,25056
174,2,3,4,3,No,111,9,3,66,3,1,3072,1,0,3,12,3,12,9,6,10,Senior,2.0,36864
175,1,1,1,1,No,1268,4,3,30,3,1,5006,4,1,3,9,4,5,4,0,3,Mid-level,2.4,60072
176,2,1,4,2,No,713,8,3,67,3,1,4257,4,1,3,19,3,2,2,2,2,Junior,2.2,51084
177,2,1,4,2,No,134,2,3,90,3,4,2500,0,0,3,4,4,3,1,0,2,Mid-level,2.8,30000
178,2,1,4,3,Yes,303,2,2,47,2,4,1102,1,0,4,1,2,1,0,1,0,Junior,2.0,13224
179,1,4,1,1,No,526,1,2,92,3,1,10453,1,0,4,24,3,24,13,15,7,Senior,1.8,125436
180,2,1,1,3,No,1380,9,3,75,3,4,2288,1,0,3,2,3,2,2,2,1,Junior,2.6,27456
181,2,3,2,2,No,140,12,3,95,3,4,3929,8,1,4,7,3,4,2,0,2,Mid-level,2.8,47148
182,2,3,1,2,No,629,27,4,95,3,2,2311,2,0,3,9,3,3,2,1,2,Mid-level,2.4,27732
183,1,4,1,7,Yes,1356,20,2,70,3,2,3140,1,1,4,4,2,4,3,0,2,Mid-level,2.0,37680
184,2,3,4,3,No,328,1,3,86,2,3,3690,2,0,3,5,2,3,2,0,2,Mid-level,2.0,44280
185,2,3,1,4,No,1084,13,4,57,4,1,4450,1,0,3,5,3,4,2,1,3,Mid-level,2.4,53400
186,2,3,4,2,No,931,14,4,72,3,2,2756,1,0,3,8,3,8,7,1,6,Senior,2.4,33072
187,2,3,2,6,No,989,4,4,46,3,3,19033,1,0,3,21,3,20,8,9,9,Senior,2.6,228396
188,2,3,3,8,No,692,14,3,61,4,2,18722,8,0,3,36,3,24,15,2,15,Senior,2.4,224664
189,2,1,2,4,No,1069,2,4,45,2,3,9547,1,0,3,10,2,10,9,1,9,Senior,2.2,114564
190,2,3,4,5,No,313,3,4,98,3,2,13734,3,0,3,21,3,7,7,1,0,Senior,2.4,164808
191,2,1,3,6,No,699,1,3,65,2,3,19999,0,0,3,34,3,33,18,11,9,Senior,2.2,239988
192,2,3,4,2,No,894,9,4,99,3,2,2279,1,0,3,7,2,7,7,0,3,Senior,2.2,27348
193,2,1,1,4,Yes,556,23,2,50,2,3,5916,3,1,3,8,3,1,0,0,1,Junior,2.2,70992
194,2,3,4,2,No,1344,7,4,37,4,4,2089,4,0,3,7,4,5,4,2,2,Mid-level,3.2,25068
195,2,3,1,6,No,1195,2,1,65,2,4,16792,9,0,4,22,3,20,8,11,8,Senior,2.0,201504
196,2,1,4,2,No,290,21,2,65,4,1,3564,1,1,3,8,2,8,7,1,7,Senior,2.0,42768
197,2,3,4,3,No,138,2,2,37,3,2,4425,5,0,3,10,3,6,2,1,2,Mid-level,2.0,53100
198,2,3,1,4,No,926,21,3,36,3,3,5265,2,0,3,11,3,5,3,0,2,Mid-level,2.4,63180
199,2,1,3,4,No,1261,2,4,88,3,3,6553,9,0,3,14,3,1,0,0,0,Junior,2.6,78636
200,2,5,4,4,No,1084,29,4,54,3,4,6261,3,0,3,9,1,7,7,1,7,Senior,2.4,75132
201,2,5,2,4,No,472,1,3,60,2,1,4298,5,0,3,6,3,2,2,2,0,Junior,1.8,51576
202,2,1,3,4,No,1002,18,4,92,3,4,6804,1,1,3,7,3,7,7,1,7,Senior,3.0,81648
203,2,3,3,2,No,878,10,4,43,3,3,3815,1,1,3,5,4,5,3,2,0,Mid-level,3.0,45780
204,2,3,1,3,No,905,19,3,99,3,4,2741,8,1,3,15,4,7,2,3,7,Senior,3.0,32892
205,2,3,2,5,Yes,1180,29,2,70,3,1,6673,7,1,3,17,3,1,0,0,0,Junior,2.0,80076
206,1,4,4,1,Yes,121,27,2,35,3,4,7639,1,0,4,10,2,10,4,1,9,Senior,2.2,91668
207,2,1,4,2,No,1136,5,4,60,4,2,2328,1,1,3,4,2,4,2,2,2,Mid-level,2.6,27936
208,2,3,2,3,No,635,18,2,73,3,4,2153,1,0,3,8,3,8,1,1,7,Senior,2.4,25836
209,2,1,5,5,No,1151,9,4,63,2,4,4876,9,0,3,5,1,3,2,0,2,Mid-level,2.2,58512
210,2,3,3,5,No,644,1,4,97,3,1,9396,7,0,3,17,3,4,2,0,3,Mid-level,2.2,112752
211,1,3,3,1,Yes,1045,4,4,32,1,4,10400,1,0,3,14,2,14,8,9,8,Senior,2.2,124800
212,2,1,2,4,No,829,1,3,88,2,3,8474,1,0,4,12,3,11,8,5,8,Senior,2.2,101688
213,1,1,4,1,No,1242,20,4,90,3,3,9981,1,0,3,7,3,7,7,0,7,Senior,2.6,119772
214,2,1,3,8,No,1469,8,2,81,2,2,12490,5,0,3,16,1,10,9,4,7,Senior,1.4,149880
215,2,5,4,2,Yes,1005,3,4,88,3,1,2657,5,1,3,8,3,5,2,0,4,Mid-level,2.4,31884
216,1,1,4,6,No,896,6,4,75,3,4,13591,3,1,3,16,3,1,0,0,0,Junior,3.0,163092
217,1,4,3,1,Yes,334,26,3,52,2,1,6696,5,0,3,9,2,6,3,0,1,Mid-level,1.6,80352
218,2,5,4,2,Yes,992,1,3,85,3,3,2058,0,0,3,7,2,6,2,1,5,Mid-level,2.2,24696
219,1,3,4,1,No,1052,6,4,57,2,4,8865,6,0,3,23,3,19,7,12,8,Senior,2.6,106380
220,1,4,4,1,No,1147,3,4,52,3,1,5940,2,0,3,16,3,6,2,0,5,Mid-level,2.2,71280
221,2,1,1,3,No,1396,5,4,62,3,2,5914,8,0,3,16,4,13,11,3,7,Senior,2.6,70968
222,2,3,3,2,No,147,4,3,47,2,2,2622,6,0,4,7,3,3,2,1,1,Mid-level,2.0,31464
223,2,2,4,8,No,663,11,2,47,3,4,12185,1,1,3,10,3,10,8,0,7,Senior,2.6,146220
224,1,1,4,1,No,119,3,1,76,3,3,10609,0,0,3,17,2,16,10,5,13,Senior,1.8,127308
225,2,3,3,4,No,979,1,3,90,1,3,4345,0,0,3,6,3,5,4,1,4,Mid-level,2.0,52140
226,2,1,4,2,No,142,3,3,70,2,4,2177,3,0,3,7,3,1,0,0,0,Junior,2.4,26124
227,1,4,3,7,No,319,4,1,41,3,4,2793,4,0,3,13,3,9,8,5,8,Senior,2.2,33516
228,1,3,2,1,No,1413,1,2,42,3,4,7918,1,0,3,11,3,11,10,4,1,Senior,2.4,95016
229,1,4,4,1,No,944,1,3,92,3,3,8789,1,0,3,10,4,10,7,0,8,Senior,2.6,105468
230,2,3,2,2,Yes,896,18,3,86,2,4,2389,1,1,3,4,2,4,3,0,1,Mid-level,2.4,28668
231,2,1,4,3,No,1323,2,3,89,2,4,3212,7,0,3,6,2,2,2,2,2,Junior,2.2,38544
232,2,5,1,6,No,532,4,3,58,3,4,19232,1,0,3,22,3,22,17,11,15,Senior,2.6,230784
233,3,3,1,9,No,818,6,2,52,3,3,2267,8,0,3,7,2,2,2,2,2,Junior,2.0,27204
234,1,3,3,6,No,854,1,4,68,3,4,19517,3,0,3,32,2,7,0,0,6,Senior,2.6,234204
235,2,3,4,3,Yes,813,14,3,58,3,4,2436,5,1,3,8,1,5,4,0,4,Mid-level,2.4,29232
236,1,4,4,6,No,1034,16,4,80,3,4,16064,5,1,4,22,3,17,13,1,9,Senior,3.0,192768
237,2,1,1,3,Yes,465,2,1,39,3,1,2707,7,0,4,13,4,9,7,1,7,Senior,1.8,32484
