eID,dID,efID,elID,jID,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,JobSatisfaction,JobInvolvement,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition,OverTime
56,2,1,1,8,13458,515,98,15146,4,3,3,3,15,14,8,12,1,1,1,No,1
57,1,1,5,1,9069,853,71,11031,1,3,4,2,9,8,1,8,1,3,18,No,0
58,2,3,3,3,4014,1142,30,16002,1,3,3,3,2,2,2,2,3,3,23,No,1
59,2,1,3,3,5915,655,48,9528,4,3,4,2,7,7,1,7,3,3,7,No,0
60,2,1,3,4,5993,1115,51,2689,3,2,3,4,7,5,0,7,1,2,1,No,0
61,2,3,4,4,6162,427,33,10877,4,3,4,3,9,8,7,8,1,3,1,No,1
62,2,1,5,3,2406,653,50,5456,4,3,3,3,10,3,9,9,1,2,29,No,0
63,2,3,1,8,18740,989,43,16701,3,2,3,2,27,3,13,8,5,2,7,No,1
64,1,1,4,1,7637,1435,99,2354,1,3,3,2,21,16,7,9,7,3,25,No,0
65,2,5,4,5,10096,1223,59,8202,3,3,3,3,17,14,12,8,1,2,8,No,0
66,2,3,4,6,14756,836,33,19730,3,3,3,3,5,0,0,2,2,2,8,No,1
67,2,1,4,4,6499,1195,95,22656,2,2,3,3,6,5,0,3,1,3,11,No,0
68,2,1,4,2,9724,1339,59,18787,1,3,3,3,1,0,0,0,2,2,7,No,0
69,2,3,4,2,2194,664,79,5868,1,3,3,2,3,2,1,2,4,2,1,No,0
70,2,3,4,2,3388,318,79,21777,3,2,3,2,1,0,0,0,0,0,9,Yes,1
71,1,1,2,1,5473,1225,57,24668,3,2,3,2,4,3,1,3,7,2,1,No,0
72,2,1,4,2,2703,1328,76,4956,2,3,4,3,5,4,0,4,0,3,2,No,0
73,2,3,3,2,2501,1082,87,18775,2,3,3,3,1,1,1,0,1,4,1,No,0
74,2,1,4,2,6220,548,66,7346,2,3,3,3,10,4,0,9,1,3,1,No,0
75,2,1,4,3,3038,132,55,22002,4,4,3,3,1,0,0,0,3,3,6,No,0
76,2,1,3,4,4424,746,61,20682,4,3,4,3,11,7,1,8,1,2,8,No,0
77,1,4,3,1,4312,776,32,23016,1,2,3,3,15,13,2,8,0,2,1,No,0
78,2,2,3,8,13245,193,52,15067,1,3,3,4,0,0,0,0,4,3,6,No,1
79,2,3,3,8,13664,397,30,25258,3,3,3,4,5,2,0,2,4,3,7,No,0
80,3,3,1,9,5021,945,80,10425,2,3,4,3,4,2,0,2,8,2,5,No,1
81,2,1,2,3,5126,852,55,15998,4,2,3,2,10,8,3,0,1,1,1,No,1
82,2,3,4,2,2859,1214,30,26278,3,2,3,3,6,4,0,4,1,3,1,No,0
83,1,1,1,1,10239,111,70,18092,4,3,3,3,1,0,1,0,3,4,1,No,0
84,2,3,4,2,5329,573,79,15717,4,1,3,3,13,11,1,9,7,3,6,No,1
85,2,3,1,4,4325,1153,94,17736,2,3,3,3,5,2,1,3,1,2,1,No,0
86,2,1,4,4,7260,1400,49,21698,4,1,3,2,6,4,0,2,4,3,7,No,0
87,1,5,2,7,2322,541,62,9518,1,3,3,3,0,0,0,0,3,3,2,No,0
88,2,1,3,3,2075,432,96,18725,4,3,4,3,4,2,0,3,3,4,9,No,0
89,2,1,4,5,4152,288,99,15830,4,2,3,3,11,10,10,8,1,3,2,No,0
90,1,3,1,1,9619,669,64,13596,4,2,3,3,9,8,4,7,1,3,9,Yes,0
91,2,1,3,5,13503,530,78,14115,2,2,4,2,22,3,11,11,1,3,1,No,0
92,1,4,3,1,5441,632,71,8423,4,3,4,1,10,7,1,0,0,2,21,No,1
93,1,3,1,1,5209,1334,63,19760,2,2,3,2,11,8,2,7,1,4,4,No,1
94,2,3,4,5,10673,638,40,3142,1,2,3,2,10,9,9,5,2,5,1,No,1
95,1,3,3,1,5010,1093,87,24301,3,3,3,3,11,8,5,7,1,0,6,No,0
96,2,5,3,8,13549,1217,60,24001,3,3,3,1,4,3,0,3,9,5,2,No,0
97,1,2,1,1,4999,1353,33,17519,3,3,4,2,3,2,0,2,0,2,3,No,0
98,1,3,4,1,4221,120,43,8863,3,3,3,4,5,4,0,4,1,3,4,No,0
99,1,3,3,1,13872,682,37,24409,3,3,3,2,37,10,1,8,0,1,10,No,0
100,2,3,4,3,2042,489,67,25043,2,3,3,4,3,2,1,2,4,3,23,No,0
101,3,6,3,9,2073,807,63,23648,1,3,4,3,3,2,0,2,4,3,6,Yes,1
102,2,1,2,2,2956,827,71,15178,1,3,3,3,1,0,0,0,1,2,1,No,0
103,2,1,4,3,2926,871,66,19783,4,2,3,3,1,0,1,0,1,5,6,Yes,1
104,2,2,3,2,4809,665,41,12482,3,3,3,3,16,13,2,10,1,3,6,No,0
105,2,1,1,5,5163,1040,100,15850,4,2,3,4,1,0,0,0,5,2,2,No,0
106,3,6,3,6,18844,1420,32,21922,4,2,4,3,3,2,2,2,9,3,2,No,0
107,2,1,4,8,18172,1115,73,9755,2,3,3,2,8,3,0,7,3,1,1,No,1
108,1,4,4,1,5744,240,46,26959,3,2,3,3,6,4,0,3,1,1,5,Yes,1
109,2,3,2,2,2889,1280,64,26897,4,2,3,3,2,2,2,1,1,2,7,No,0
110,2,3,4,3,2871,534,59,23785,4,3,3,3,0,0,0,0,1,5,15,No,0
111,2,3,3,5,7484,1456,30,25796,1,2,4,2,13,12,12,8,3,1,1,No,0
112,2,1,4,3,6074,658,66,22887,3,1,4,3,9,7,0,6,1,3,7,Yes,1
113,3,6,4,6,17328,142,30,13871,4,4,3,3,5,3,4,4,2,3,26,No,1
114,2,1,2,3,2774,1127,52,13257,3,3,3,3,5,3,1,2,0,2,18,No,0
115,2,1,3,2,4505,1031,45,15000,2,2,3,3,1,0,0,0,6,3,6,No,0
116,1,1,4,1,7428,1189,87,14506,4,3,3,3,5,3,1,3,2,3,3,No,0
117,2,3,4,6,11631,1354,45,5615,1,2,3,3,11,10,5,8,2,6,5,No,0
118,1,5,1,1,9738,1467,92,22952,4,3,3,3,9,7,2,8,0,6,11,No,0
119,2,1,1,3,2835,922,39,2561,4,3,4,3,1,0,0,0,5,2,3,No,0
120,1,1,1,6,16959,394,92,19494,4,3,3,4,25,12,4,12,1,3,26,No,1
121,2,1,4,2,2613,1312,96,22310,3,1,4,2,10,7,0,9,1,2,23,No,0
122,1,4,1,1,6146,750,95,15480,2,3,3,4,7,7,0,7,0,2,22,No,0
123,2,1,3,2,4963,441,72,4510,2,3,3,3,5,4,4,3,9,2,14,Yes,1
124,2,1,4,8,19537,684,51,6462,3,3,3,3,20,18,15,15,7,5,6,No,0
125,1,1,3,1,6172,249,76,20739,3,1,3,2,7,7,7,7,4,3,6,Yes,1
126,2,2,4,2,2368,841,46,23300,2,2,3,2,5,4,4,3,1,3,6,No,0
127,2,3,3,5,10312,147,94,3465,4,3,3,2,40,10,15,6,1,3,23,Yes,0
128,1,4,2,7,1675,528,50,26820,3,3,3,2,0,0,0,0,1,2,22,Yes,1
129,2,5,2,3,2523,594,100,19299,4,3,3,3,2,1,2,1,0,2,2,No,0
130,2,3,3,4,6567,470,96,5549,1,3,3,2,15,11,5,11,1,2,20,No,0
131,2,3,4,2,4739,957,72,16090,3,4,3,3,3,2,1,2,4,2,28,No,0
132,1,4,4,1,9208,809,77,6645,4,3,3,3,2,2,2,1,4,3,12,No,0
133,1,1,4,1,4559,542,71,24788,3,1,3,3,2,2,2,2,3,2,20,Yes,1
134,1,1,2,1,8189,802,96,21196,3,3,3,3,9,7,0,7,3,2,9,No,1
135,3,1,2,9,2942,1355,61,8916,3,3,4,3,8,7,5,7,1,3,25,No,0
136,2,3,1,4,4941,216,84,2819,2,3,4,3,3,2,0,1,6,0,6,No,0
137,2,1,3,4,10650,1150,53,25150,4,1,3,3,4,2,0,3,2,2,8,Yes,0
138,1,1,3,1,5902,1329,47,14590,3,2,3,4,15,11,5,9,4,1,4,No,0
139,1,1,4,1,8639,959,41,24835,3,2,3,3,2,2,2,2,2,3,28,No,0
140,3,6,4,9,6347,1240,48,13982,4,3,3,1,11,9,4,7,0,2,9,No,1
141,2,3,4,3,4200,1033,41,10224,1,3,4,4,5,4,0,4,7,2,9,Yes,0
142,2,3,4,2,3452,1316,83,9752,4,3,3,2,6,5,0,3,5,2,29,No,0
143,2,5,5,2,4317,364,32,2302,3,3,4,3,3,2,2,2,3,2,3,No,1
144,2,1,4,2,2632,438,75,23910,3,3,3,2,5,4,0,4,1,4,18,No,0
145,1,3,1,1,4668,689,35,22812,4,1,3,4,8,7,0,7,0,2,9,No,0
146,2,5,4,2,3204,201,84,10415,1,3,3,3,3,2,2,2,5,3,5,No,0
147,2,3,2,3,2720,1427,35,11162,4,2,3,3,5,3,1,2,0,3,2,No,0
148,2,1,4,6,17181,857,91,12888,1,2,3,2,7,6,7,7,4,2,10,No,0
149,2,1,3,3,2238,933,94,6961,1,3,4,3,5,0,1,4,2,2,9,No,0
150,2,3,2,3,1483,1181,79,16102,2,3,3,3,1,0,0,0,1,3,3,No,0
151,2,3,4,2,5605,1395,54,8504,2,3,3,3,20,7,2,13,1,2,26,No,0
152,1,4,5,1,7295,662,94,11439,2,3,3,3,10,8,0,6,1,3,1,No,0
153,1,4,1,7,2306,1436,34,16047,3,3,4,1,7,7,4,5,2,3,6,No,1
154,2,1,4,3,2348,194,60,10901,2,3,3,1,17,9,0,15,8,2,9,No,0
155,1,4,4,1,8998,967,43,15589,4,3,3,3,9,8,3,7,1,2,8,No,0
156,2,5,2,4,4319,1496,41,26283,3,3,3,3,10,7,0,9,1,1,1,No,0
157,2,3,3,4,6132,1169,34,13983,3,2,3,3,1,0,0,0,2,2,7,No,0
158,2,3,4,2,3346,1145,75,11873,2,2,4,2,1,0,0,0,4,3,9,No,1
159,1,4,3,1,10855,630,67,8552,4,2,3,2,12,11,2,11,7,2,4,No,0
160,1,4,3,7,2231,303,75,11314,3,3,3,3,4,3,1,2,6,3,2,No,0
161,2,3,2,2,2323,1256,80,11992,4,3,4,3,2,2,2,2,1,6,19,No,0
162,2,3,4,2,2024,691,57,5970,2,3,3,1,2,2,2,2,6,1,9,No,0
163,2,3,4,2,2713,440,42,6672,4,3,3,1,5,2,0,2,1,2,21,No,0
164,2,1,1,5,9439,334,83,23402,4,4,3,1,5,3,1,4,3,2,24,No,1
165,2,3,4,2,2566,1450,79,25326,3,2,3,2,1,1,0,1,1,2,3,No,1
166,2,1,4,6,19926,1452,53,17053,2,3,3,3,5,4,4,4,3,5,11,No,0
167,2,1,4,2,2451,465,56,4609,3,3,3,3,9,8,1,8,4,2,14,No,0
168,1,1,4,1,9419,1339,41,8053,4,3,3,3,10,9,7,4,2,2,5,No,0
169,1,1,3,1,8686,702,59,12930,4,2,4,4,8,3,0,7,4,2,1,No,0
170,2,1,5,2,3038,120,43,12430,3,3,4,3,5,4,1,4,3,2,6,No,0
171,2,5,4,2,3058,1157,51,13364,2,3,3,2,5,2,1,1,0,3,17,No,1
172,1,5,2,7,2325,602,100,20989,1,1,4,4,0,0,0,0,0,5,1,Yes,0
173,2,3,1,3,2088,1480,30,15062,2,3,3,2,8,7,7,2,4,3,3,No,0
174,2,3,4,3,3072,111,66,11012,1,3,3,3,12,9,6,10,1,4,9,No,0
175,1,1,1,1,5006,1268,30,6319,1,3,3,4,5,4,0,3,4,3,4,No,1
176,2,1,4,2,4257,713,67,13939,1,3,3,3,2,2,2,2,4,3,8,No,1
177,2,1,4,2,2500,134,90,10515,4,3,3,4,3,1,0,2,0,2,2,No,0
178,2,1,4,3,1102,303,47,9241,4,2,4,2,1,0,1,0,1,3,2,Yes,0
179,1,4,1,1,10453,526,92,2137,1,3,4,3,24,13,15,7,1,2,1,No,0
180,2,1,1,3,2288,1380,75,6319,4,3,3,3,2,2,2,1,1,3,9,No,0
181,2,3,2,2,3929,140,95,6984,4,3,4,3,4,2,0,2,8,0,12,No,1
182,2,3,1,2,2311,629,95,5711,2,3,3,3,3,2,1,2,2,3,27,No,0
183,1,4,1,7,3140,1356,70,21728,2,3,4,2,4,3,0,2,1,5,20,Yes,1
184,2,3,4,3,3690,328,86,3425,3,2,3,2,3,2,0,2,2,2,1,No,0
185,2,3,1,4,4450,1084,57,26250,1,4,3,3,4,2,1,3,1,3,13,No,0
186,2,3,4,2,2756,931,72,4673,2,3,3,3,8,7,1,6,1,5,14,No,0
187,2,3,2,6,19033,989,46,6499,3,3,3,3,20,8,9,9,1,2,4,No,0
188,2,3,3,8,18722,692,61,13339,2,4,3,3,24,15,2,15,8,3,14,No,0
189,2,1,2,4,9547,1069,45,14074,3,2,3,2,10,9,1,9,1,2,2,No,0
190,2,3,4,5,13734,313,98,7192,2,3,3,3,7,7,1,0,3,6,3,No,0
191,2,1,3,6,19999,699,65,5678,3,2,3,3,33,18,11,9,0,5,1,No,0
192,2,3,4,2,2279,894,99,11781,2,3,3,2,7,7,0,3,1,2,9,No,0
193,2,1,1,4,5916,556,50,15497,3,2,3,3,1,0,0,1,3,1,23,Yes,1
194,2,3,4,2,2089,1344,37,5228,4,4,3,4,5,4,2,2,4,3,7,No,0
195,2,3,1,6,16792,1195,65,20462,4,2,4,3,20,8,11,8,9,1,2,No,0
196,2,1,4,2,3564,290,65,22977,1,4,3,2,8,7,1,7,1,3,21,No,1
197,2,3,4,3,4425,138,37,15986,2,3,3,3,6,2,1,2,5,5,2,No,0
198,2,3,1,4,5265,926,36,16439,3,3,3,3,5,3,0,2,2,5,21,No,0
199,2,1,3,4,6553,1261,88,7259,3,3,3,3,1,0,0,0,9,3,2,No,0
200,2,5,4,4,6261,1084,54,4185,4,3,3,1,7,7,1,7,3,3,29,No,0
201,2,5,2,4,4298,472,60,9679,1,2,3,3,2,2,2,0,5,1,1,No,0
202,2,1,3,4,6804,1002,92,23793,4,3,3,3,7,7,1,7,1,0,18,No,1
203,2,3,3,2,3815,878,43,5972,3,3,3,4,5,3,2,0,1,4,10,No,1
204,2,3,1,3,2741,905,99,16523,4,3,3,4,7,2,3,7,8,2,19,No,1
205,2,3,2,5,6673,1180,70,11354,1,3,3,3,1,0,0,0,7,2,29,Yes,1
206,1,4,4,1,7639,121,35,24525,4,3,4,2,10,4,1,9,1,3,27,Yes,0
207,2,1,4,2,2328,1136,60,12392,2,4,3,2,4,2,2,2,1,2,5,No,1
208,2,3,2,3,2153,635,73,7703,4,3,3,3,8,1,1,7,1,2,18,No,0
209,2,1,5,5,4876,1151,63,14242,4,2,3,1,3,2,0,2,9,5,9,No,0
210,2,3,3,5,9396,644,97,12368,1,3,3,3,4,2,0,3,7,3,1,No,0
211,1,3,3,1,10400,1045,32,25812,4,1,3,2,14,8,9,8,1,2,4,Yes,0
212,2,1,2,4,8474,829,88,20925,3,2,4,3,11,8,5,8,1,2,1,No,0
213,1,1,4,1,9981,1242,90,12916,3,3,3,3,7,7,0,7,1,2,20,No,0
214,2,1,3,8,12490,1469,81,15736,2,2,3,1,10,9,4,7,5,5,8,No,0
215,2,5,4,2,2657,1005,88,8556,1,3,3,3,5,2,0,4,5,5,3,Yes,1
216,1,1,4,6,13591,896,75,14674,4,3,3,3,1,0,0,0,3,3,6,No,1
217,1,4,3,1,6696,334,52,22967,1,2,3,2,6,3,0,1,5,5,26,Yes,0
218,2,5,4,2,2058,992,85,19757,3,3,3,2,6,2,1,5,0,1,1,Yes,0
219,1,3,4,1,8865,1052,57,16840,4,2,3,3,19,7,12,8,6,2,6,No,0
220,1,4,4,1,5940,1147,52,17011,1,3,3,3,6,2,0,5,2,4,3,No,0
221,2,1,1,3,5914,1396,62,9945,2,3,3,4,13,11,3,7,8,3,5,No,0
222,2,3,3,2,2622,147,47,13248,2,2,4,3,3,2,1,1,6,3,4,No,0
223,2,2,4,8,12185,663,47,10056,4,3,3,3,10,8,0,7,1,1,11,No,1
224,1,1,4,1,10609,119,76,9647,3,3,3,2,16,10,5,13,0,6,3,No,0
225,2,3,3,4,4345,979,90,4381,3,1,3,3,5,4,1,4,0,2,1,No,0
226,2,1,4,2,2177,142,70,8456,4,2,3,3,1,0,0,0,3,6,3,No,0
227,1,4,3,7,2793,319,41,2539,4,3,3,3,9,8,5,8,4,2,4,No,0
228,1,3,2,1,7918,1413,42,6599,4,3,3,3,11,10,4,1,1,5,1,No,0
229,1,4,4,1,8789,944,92,9096,3,3,3,4,10,7,0,8,1,3,1,No,0
230,2,3,2,2,2389,896,86,14961,4,2,3,2,4,3,0,1,1,3,18,Yes,1
231,2,1,4,3,3212,1323,89,3300,4,2,3,2,2,2,2,2,7,3,2,No,0
232,2,5,1,6,19232,532,58,4933,4,3,3,3,22,17,11,15,1,3,4,No,0
233,3,3,1,9,2267,818,52,25657,3,3,3,2,2,2,2,2,8,2,6,No,0
234,1,3,3,6,19517,854,68,24118,4,3,3,2,7,0,0,6,3,3,1,No,0
235,2,3,4,3,2436,813,58,22149,4,3,3,1,5,4,0,4,5,2,14,Yes,1
236,1,4,4,6,16064,1034,80,7744,4,3,4,3,17,13,1,9,5,3,16,No,1
237,2,1,1,3,2707,465,39,21509,1,3,4,4,9,7,1,7,7,3,2,Yes,0
238,1,1,3,6,19068,771,79,21030,3,2,3,4,33,7,15,12,1,2,2,No,1
239,1,1,1,7,3931,1401,56,20990,2,3,3,3,4,3,1,2,2,5,4,No,0
240,2,1,4,3,3730,515,62,9571,3,2,3,1,3,2,1,2,0,2,1,Yes,1
241,2,3,3,3,2232,1431,96,15417,3,3,3,3,3,2,1,2,7,1,1,No,0
242,1,4,3,1,4465,976,100,12069,4,3,3,3,3,2,2,2,0,2,26,No,0
243,2,1,1,2,3072,1411,36,19877,1,3,3,2,1,0,0,0,2,2,19,No,0
244,2,5,1,2,3319,1300,62,24447,4,3,3,3,9,8,4,7,1,3,24,No,0
245,2,2,4,6,19202,252,70,15970,4,4,3,3,24,0,1,7,0,2,1,No,0
246,2,3,3,8,13675,1327,73,13523,3,3,3,3,2,2,2,2,9,3,3,No,0
247,2,1,3,2,2911,832,63,14776,4,2,3,2,2,2,0,2,1,2,5,No,0
248,2,1,3,4,5957,470,84,23687,1,2,3,3,11,9,5,9,6,3,2,No,0
249,2,3,1,2,3920,1017,83,18697,1,2,3,2,3,1,0,2,2,2,1,No,0
250,2,1,3,4,6434,1199,77,5118,3,4,3,3,3,2,0,2,4,1,7,No,0
251,2,3,4,4,10048,504,61,22573,3,3,3,3,1,0,0,0,6,5,10,Yes,0
252,2,5,3,5,10938,505,64,6420,3,3,4,3,19,6,11,8,0,1,2,No,0
253,2,1,4,2,2340,665,60,22673,4,3,3,3,6,5,1,5,1,1,15,No,0
254,2,1,1,2,6545,916,82,23016,1,4,3,3,3,2,0,2,3,1,17,No,1
255,1,4,1,1,6931,1247,45,10732,4,3,3,3,3,2,0,2,2,2,20,No,0
256,2,1,4,4,4898,685,62,7505,3,3,3,3,4,2,1,2,0,3,1,No,0
257,2,3,4,3,2593,269,56,8007,1,2,3,3,9,6,7,8,0,4,2,No,1
258,2,3,1,8,19436,1416,49,5949,3,3,3,3,21,7,3,9,0,5,2,No,0
259,2,1,4,2,2723,833,96,23231,4,3,3,2,1,0,0,0,1,0,1,No,0
260,2,3,1,3,3479,307,71,11652,2,2,3,4,5,4,1,4,0,2,29,Yes,0
261,2,1,4,3,2794,1311,100,26062,2,4,4,1,5,1,0,3,1,3,7,No,0
262,1,1,1,1,5249,1327,39,19682,4,2,3,3,8,7,7,5,3,0,2,No,0
263,2,5,2,3,2176,128,84,19737,1,2,3,3,6,2,0,4,4,5,2,No,0
264,1,5,4,6,16872,488,75,14977,2,1,3,2,7,7,7,7,3,2,2,No,1
265,2,1,3,3,3485,529,79,14935,3,3,3,1,0,0,0,0,2,5,2,Yes,0
266,1,3,4,1,6644,1210,78,3687,2,2,3,3,0,0,0,0,2,2,2,No,0
267,2,3,4,5,5582,1463,64,14408,4,2,4,3,9,0,7,8,0,2,23,No,0
268,2,1,1,5,4000,675,85,18384,1,4,3,3,6,3,1,5,1,2,5,No,0
269,2,3,1,5,13496,1385,79,7501,4,3,3,3,20,7,4,10,0,2,20,No,1
270,2,1,4,3,3210,1403,47,20251,4,3,3,3,15,13,10,11,0,4,6,No,0
271,2,3,4,6,19045,452,81,18938,1,3,3,3,36,10,4,13,0,2,1,No,1
272,2,1,3,6,11849,666,88,10268,2,3,3,2,10,7,9,9,1,2,29,Yes,1
273,2,3,4,2,2070,1158,94,2613,4,3,4,2,5,2,0,4,1,3,9,No,0
274,1,3,3,1,6502,228,98,22825,4,3,3,4,5,4,0,1,4,5,6,No,0
275,2,3,1,2,3230,996,100,10531,3,2,3,4,3,2,1,0,1,4,3,No,0
276,2,3,3,8,13603,728,80,11677,4,3,3,3,5,2,0,2,2,2,1,No,1
277,2,1,4,6,11996,1315,71,19100,2,4,3,2,7,7,6,2,7,6,22,No,0
278,1,3,1,1,5605,322,44,19191,1,4,4,3,8,0,7,7,1,3,7,No,1
279,2,1,4,4,6397,1479,84,26767,2,3,4,1,6,5,1,4,1,6,1,No,0
280,2,1,2,8,19144,797,96,15815,2,3,3,2,10,4,1,6,3,4,4,No,0
281,2,3,3,8,17584,1070,45,21016,3,3,3,2,5,3,1,3,3,5,3,No,1
282,1,1,2,1,4907,635,99,24532,3,3,4,3,20,16,11,6,1,3,1,No,0
283,1,1,1,1,4554,442,44,20260,4,3,3,2,10,7,0,9,1,3,2,No,0
284,2,5,1,3,5415,147,37,15972,4,3,3,3,10,7,0,8,3,4,20,No,1
285,2,3,1,5,4741,496,60,22722,1,3,3,3,5,3,3,3,1,3,11,No,1
286,2,1,4,2,2115,1372,42,15881,4,3,3,3,17,12,5,7,1,3,1,No,0
287,2,1,4,3,3161,920,43,19920,3,3,4,1,1,0,0,0,3,0,24,Yes,1
288,2,1,3,5,5745,688,82,18899,4,3,3,3,2,2,1,2,9,2,23,No,0
289,2,3,3,3,2373,1449,45,14180,2,3,3,3,3,2,0,2,2,2,16,Yes,1
290,2,1,1,2,3310,1117,66,4488,4,3,4,3,5,3,0,2,1,3,8,No,0
291,2,1,3,8,18665,636,35,25594,1,3,3,3,3,2,1,2,9,4,10,No,1
292,2,5,4,2,4485,506,30,26285,2,3,3,3,8,0,7,7,4,2,3,No,0
